iter	Passed	Remaining
0	142	142078
1	147	73423
2	152	50674
3	158	39401
4	163	32526
5	168	27980
6	175	24862
7	180	22359
8	185	20382
9	190	18852
10	194	17519
11	200	16507
12	206	15678
13	211	14917
14	217	14304
15	223	13732
16	228	13223
17	234	12812
18	240	12417
19	245	12022
20	250	11664
21	255	11357
22	260	11084
23	266	10822
24	272	10612
25	277	10378
26	281	10158
27	287	9967
28	292	9779
29	297	9619
30	303	9475
31	308	9323
32	314	9204
33	320	9098
34	325	8982
35	331	8872
36	337	8775
37	342	8666
38	347	8569
39	352	8466
40	357	8359
41	363	8286
42	368	8202
43	373	8115
44	379	8056
45	385	7999
46	391	7939
47	399	7924
48	404	7856
49	410	7798
50	416	7743
51	421	7677
52	427	7630
53	433	7600
54	439	7550
55	445	7505
56	450	7454
57	456	7408
58	462	7375
59	467	7330
60	473	7292
61	480	7269
62	486	7234
63	492	7197
64	498	7166
65	503	7124
66	509	7093
67	515	7063
68	520	7020
69	525	6978
70	530	6938
71	534	6889
72	539	6849
73	544	6812
74	548	6768
75	553	6728
76	558	6695
77	563	6662
78	568	6624
79	574	6602
80	579	6572
81	584	6540
82	588	6505
83	593	6473
84	598	6441
85	603	6415
86	609	6393
87	614	6369
88	619	6346
89	625	6324
90	629	6292
91	634	6264
92	639	6239
93	644	6210
94	649	6182
95	653	6156
96	658	6132
97	662	6099
98	667	6070
99	671	6043
100	676	6017
101	680	5989
102	685	5966
103	690	5945
104	694	5923
105	700	5905
106	705	5888
107	710	5869
108	716	5854
109	722	5847
110	728	5836
111	734	5822
112	739	5805
113	744	5786
114	750	5773
115	756	5762
116	761	5743
117	767	5733
118	772	5719
119	777	5700
120	782	5685
121	787	5665
122	791	5643
123	796	5624
124	801	5608
125	805	5586
126	808	5560
127	813	5540
128	817	5521
129	821	5500
130	826	5482
131	831	5465
132	835	5446
133	839	5427
134	844	5408
135	848	5390
136	852	5372
137	856	5353
138	861	5334
139	865	5316
140	869	5296
141	873	5276
142	877	5257
143	881	5241
144	886	5224
145	890	5209
146	896	5199
147	901	5190
148	906	5177
149	912	5172
150	918	5164
151	923	5154
152	931	5154
153	937	5151
154	944	5147
155	950	5141
156	955	5130
157	960	5120
158	966	5110
159	970	5097
160	976	5089
161	982	5079
162	987	5069
163	993	5064
164	999	5056
165	1004	5045
166	1010	5042
167	1016	5035
168	1023	5034
169	1030	5029
170	1035	5018
171	1041	5012
172	1047	5005
